Sector,Stock
Health Technology,A
Non-Energy Minerals,AA
Transportation,AAL
Retail Trade,AAP
Electronic Technology,AAPL
Health Technology,ABBV
Distribution Services,ABC
Health Technology,ABMD
Health Technology,ABT
Finance,ACC
Finance,ACGL
Health Services,ACHC
Industrial Services,ACM
Technology Services,ACN
Technology Services,ADBE
Electronic Technology,ADI
Process Industries,ADM
Producer Manufacturing,ADNT
Technology Services,ADP
Technology Services,ADS
Technology Services,ADSK
Utilities,AEE
Utilities,AEP
Utilities,AES
Health Services,AET
Finance,AFG
Finance,AFL
Producer Manufacturing,AGCO
Health Technology,AGIO
Health Technology,AGN
Finance,AGNC
Finance,AGO
Utilities,AGR
Finance,AHL
Finance,AIG
Finance,AIV
Finance,AIZ
Finance,AJG
Technology Services,AKAM
Finance,AL
Process Industries,ALB
Health Technology,ALGN
Transportation,ALK
Health Technology,ALKS
Finance,ALL
Producer Manufacturing,ALLE
Finance,ALLY
Health Technology,ALNY
Producer Manufacturing,ALSN
Health Technology,ALXN
Electronic Technology,AMAT
Consumer Services,AMCX
Electronic Technology,AMD
Producer Manufacturing,AME
Finance,AMG
Health Technology,AMGN
Finance,AMH
Finance,AMP
Finance,AMT
Finance,AMTD
Retail Trade,AMZN
Retail Trade,AN
Finance,ANAT
Electronic Technology,ANET
Technology Services,ANSS
Health Services,ANTM
Finance,AON
Producer Manufacturing,AOS
Energy Minerals,APA
Energy Minerals,APC
Process Industries,APD
Electronic Technology,APH
Finance,APLE
Producer Manufacturing,APTV
Energy Minerals,AR
Process Industries,ARD
Finance,ARE
Consumer Services,ARMK
Non-Energy Minerals,ARNC
Electronic Technology,ARRS
Distribution Services,ARW
Finance,ASB
Process Industries,ASH
Finance,ATH
Technology Services,ATHN
Utilities,ATO
Process Industries,ATR
Consumer Durables,ATVI
Finance,AVB
Electronic Technology,AVGO
Distribution Services,AVT
Process Industries,AVY
Producer Manufacturing,AWI
Utilities,AWK
Finance,AXP
Finance,AXS
Process Industries,AXTA
Producer Manufacturing,AYI
Retail Trade,AZO
Technology Services,AZPN
Electronic Technology,BA
Finance,BAC
Commercial Services,BAH
Health Technology,BAX
Finance,BBT
Retail Trade,BBY
Consumer Durables,BC
Finance,BDN
Health Technology,BDX
Finance,BEN
Process Industries,BERY
Consumer Non-Durables,BF.A
Consumer Non-Durables,BF.B
Commercial Services,BFAM
Process Industries,BG
Finance,BGCP
Finance,BHF
Industrial Services,BHGE
Health Technology,BIIB
Health Technology,BIO
Finance,BK
Technology Services,BKI
Consumer Services,BKNG
Finance,BKU
Finance,BLK
Process Industries,BLL
Health Technology,BLUE
Health Technology,BMRN
Process Industries,BMS
Health Technology,BMY
Finance,BOH
Finance,BOKF
Finance,BPOP
Commercial Services,BR
Finance,BRK.B
Health Technology,BRKR
Finance,BRO
Finance,BRX
Health Technology,BSX
Retail Trade,BURL
Producer Manufacturing,BWA
Electronic Technology,BWXT
Finance,BXP
Finance,C
Technology Services,CA
Consumer Services,CABO
Finance,CACC
Consumer Non-Durables,CAG
Distribution Services,CAH
Retail Trade,CASY
Producer Manufacturing,CAT
Finance,CB
Finance,CBOE
Finance,CBRE
Consumer Services,CBS
Finance,CBSH
Process Industries,CBT
Process Industries,CC
Finance,CCI
Process Industries,CCK
Consumer Services,CCL.U
Energy Minerals,CDEV
Commercial Services,CDK
Electronic Technology,CDNS
Technology Services,CDW
Process Industries,CE
Health Technology,CELG
Technology Services,CERN
Process Industries,CF
Finance,CFG
Finance,CFR
Producer Manufacturing,CFX
Electronic Technology,CGNX
Consumer Non-Durables,CHD
Health Services,CHE
Consumer Services,CHH
Energy Minerals,CHK
Transportation,CHRW
Consumer Services,CHTR
Health Services,CI
Finance,CIM
Finance,CINF
Finance,CIT
Consumer Non-Durables,CL
Technology Services,CLGX
Industrial Services,CLH
Finance,CLNY
Energy Minerals,CLR
Consumer Non-Durables,CLX
Finance,CMA
Consumer Services,CMCSA
Health Technology,CMD
Finance,CME
Consumer Services,CMG
Producer Manufacturing,CMI
Utilities,CMS
Finance,CNA
Health Services,CNC
Commercial Services,CNDT
Consumer Services,CNK
Utilities,CNP
Energy Minerals,CNX
Finance,COF
Energy Minerals,COG
Electronic Technology,COHR
Electronic Technology,COL
Consumer Non-Durables,COLM
Electronic Technology,COMM
Finance,CONE
Health Technology,COO
Energy Minerals,COP
Finance,COR
Retail Trade,COST
Consumer Non-Durables,COTY
Transportation,CPA
Consumer Non-Durables,CPB
Commercial Services,CPRT
Finance,CPT
Producer Manufacturing,CR
Retail Trade,CRI
Commercial Services,CRL
Technology Services,CRM
Electronic Technology,CSCO
Technology Services,CSGP
Producer Manufacturing,CSL
Transportation,CSX
Consumer Services,CTAS
Communications,CTL
Health Technology,CTLT
Technology Services,CTSH
Technology Services,CTXS
Finance,CUBE
Retail Trade,CVS
Energy Minerals,CVX
Electronic Technology,CW
Energy Minerals,CXO
Finance,CXP
Electronic Technology,CY
Consumer Services,CZR
Utilities,D
Transportation,DAL
Technology Services,DATA
Process Industries,DCI
Producer Manufacturing,DE
Finance,DEI
Finance,DFS
Retail Trade,DG
Health Services,DGX
Consumer Durables,DHI
Health Technology,DHR
Consumer Services,DIS
Consumer Services,DISCA
Consumer Services,DISCK
Consumer Services,DISH
Retail Trade,DKS
Electronic Technology,DLB
Finance,DLR
Retail Trade,DLTR
Commercial Services,DNB
Consumer Services,DNKN
Producer Manufacturing,DOV
Technology Services,DOX
Consumer Services,DPZ
Finance,DRE
Consumer Services,DRI
Utilities,DTE
Utilities,DUK
Health Services,DVA
Electronic Technology,DVMT
Energy Minerals,DVN
Process Industries,DWDP
Technology Services,DXC
Health Technology,DXCM
Consumer Durables,EA
Consumer Services,EBAY
Process Industries,ECL
Utilities,ED
Technology Services,EEFT
Commercial Services,EFX
Energy Minerals,EGN
Health Services,EHC
Utilities,EIX
Consumer Non-Durables,EL
Finance,ELS
